NO,NO KEC,KECAMATAN,JUMLAH SMP NEGERI,JUMLAH LABORATORIUM IPA,JUMLAH LABORATORIUM BAHASA,JUMLAH LABORATORIUM KOMPUTER
1,32.75.01,Bekasi Timur,7,8,1,9
2,32.75.02,Bekasi Barat,5,2,1,2
3,32.75.03,Bekasi Utara,7,6,3,3
4,32.75.04,Bekasi Selatan,6,5,3,8
5,32.75.05,Rawalumbu,5,4,2,8
6,32.75.06,Medansatria,3,2,1,2
7,32.75.07,Bantargebang,3,3,2,1
8,32.75.08,Pondokgede,4,3,2,3
9,32.75.09,Jatiasih,7,6,1,8
10,32.75.10,Jatisampurna,3,2,1,2
11,32.75.11,Mustikajaya,5,3,1,7
12,32.75.12,Pondokmelati,1,1,0,0
