NO,NO KEC,KECAMATAN,JUMLAH SMP SWASTA,JUMLAH LABORATORIUM IPA,JUMLAH LABORATORIUM BAHASA,JUMLAH LABORATORIUM KOMPUTER
1,32.75.01,Bekasi Timur,25,24,10,25
2,32.75.02,Bekasi Barat,16,8,3,17
3,32.75.03,Bekasi Utara,33,26,9,29
4,32.75.04,Bekasi Selatan,15,15,4,13
5,32.75.05,Rawalumbu,23,17,6,19
6,32.75.06,Medansatria,26,22,7,21
7,32.75.07,Bantargebang,7,5,1,7
8,32.75.08,Pondokgede,19,12,4,17
9,32.75.09,Jatiasih,30,19,2,26
10,32.75.10,Jatisampurna,14,11,6,11
11,32.75.11,Mustikajaya,21,16,4,20
12,32.75.12,Pondokmelati,14,10,3,12
