USIA,BEKASI TIMUR LAKI-LAKI,BEKASI TIMUR PEREMPUAN,BEKASI BARAT LAKI-LAKI,BEKASI BARAT PEREMPUAN,BEKASI UTARA LAKI-LAKI,BEKASI UTARA PEREMPUAN,BEKASI SELATAN LAKI-LAKI,BEKASI SELATAN PEREMPUAN,RAWALUMBU LAKI-LAKI,RAWALUMBU PEREMPUAN,MEDANSATRIA LAKI-LAKI,MEDANSATRIA PEREMPUAN,BANTARGEBANG LAKI-LAKI,BANTARGEBANG PEREMPUAN,PONDOKGEDE LAKI-LAKI,PONDOKGEDE PEREMPUAN,JATIASIH LAKI-LAKI,JATIASIH PEREMPUAN,JATISAMPURNA LAKI-LAKI,JATISAMPURNA PEREMPUAN,MUSTIKAJAYA LAKI-LAKI,MUSTIKAJAYA PEREMPUAN,PONDOK MELATI LAKI-LAKI,PONDOK MELATI PEREMPUAN
0-1,1430,1216,1238,1126,1630,1394,922,866,1123,981,735,669,572,569,932,857,987,1007,477,481,916,888,503,484
2,2186,2078,2004,1951,2642,2402,1559,1459,1724,1652,1195,1113,935,869,1729,1542,1646,1622,811,757,1584,1398,835,836
3,2394,2265,2250,2085,2759,2656,1780,1584,1844,1708,1298,1224,1063,935,1844,1671,1936,1816,884,870,1739,1539,937,926
4,2461,2358,2307,2165,2730,2710,1812,1572,1795,1703,1302,1218,1080,968,1855,1752,1935,1831,893,846,1694,1602,997,907
5,2446,2254,2319,1974,2756,2490,1719,1644,1761,1721,1387,1173,1020,908,1835,1691,1964,1882,898,888,1798,1599,974,945
6,2557,2246,2337,2179,2730,2591,1833,1668,1852,1707,1334,1279,1045,965,1997,1649,1953,1901,860,908,1795,1664,1059,934
7,2486,2376,2404,2216,2848,2636,1881,1731,1893,1819,1339,1281,1105,1048,1927,1846,2144,1960,1004,890,1908,1785,1065,986
8,2513,2255,2324,2167,2904,2711,1781,1796,1917,1749,1410,1231,1042,964,1998,1793,2037,1910,945,996,1999,1860,1043,971
9,2486,2354,2394,2197,2891,2651,1854,1773,1897,1814,1418,1321,1106,1017,2016,1829,2103,2035,974,909,2020,1881,1103,1072
10,2387,2195,2290,2247,2960,2790,1851,1716,1990,1816,1412,1343,1093,964,1981,1875,2207,2034,977,965,2034,1900,1127,1066
11,2319,2151,2338,2200,2715,2571,1820,1719,1773,1623,1355,1189,1035,983,1894,1858,2059,1903,976,946,1978,1877,1081,1016
12,2294,2127,2300,2125,2895,2568,1772,1684,1845,1734,1374,1271,1053,1020,1881,1827,2072,1940,991,941,2002,1910,1141,1036
13,2314,2100,2310,2239,2961,2744,1816,1664,1895,1769,1346,1301,1047,946,1994,1897,2207,2090,1022,974,2056,1974,1126,1019
14,2202,2112,2182,2057,2944,2671,1748,1769,1779,1768,1444,1282,980,913,1834,1799,2122,2042,984,914,2107,1972,1125,1037
15,2192,2149,2142,2057,2943,2714,1808,1651,1817,1787,1367,1326,1057,927,1919,1783,2093,1960,972,909,2082,1897,1175,1034
16,2041,1906,2033,1925,2676,2558,1702,1657,1726,1730,1294,1153,935,873,1703,1597,2054,1915,961,878,2027,1823,1068,993
17,2122,2012,2034,1884,2886,2615,1647,1651,1860,1722,1333,1250,923,813,1783,1590,2065,1869,959,893,2021,1838,1007,990
18,1840,1756,1903,1806,2561,2487,1528,1505,1727,1565,1272,1170,874,797,1627,1576,1916,1784,895,861,1832,1662,986,904
19,2004,1811,2065,1946,2826,2706,1689,1620,1881,1673,1406,1342,871,868,1797,1726,2077,1865,965,894,1952,1793,1069,956
20,2024,1934,2049,2015,2860,2729,1738,1690,1889,1838,1321,1352,920,896,1836,1666,2051,1927,971,851,1891,1728,1082,1052
21,2210,2104,2143,2172,3179,2917,1809,1819,2190,1994,1476,1381,963,893,1915,1837,2159,2080,1026,984,1924,1842,1098,1064
22,2081,1983,2056,1957,2840,2661,1652,1642,1997,1891,1320,1264,852,829,1755,1762,1919,1865,880,750,1730,1562,1016,948
23,1918,1950,2123,1975,2794,2627,1643,1604,2079,1752,1367,1264,787,848,1796,1704,1915,1802,908,905,1609,1539,1025,907
24,2093,2027,2216,2093,2854,2708,1652,1680,2096,2014,1383,1309,865,832,1886,1739,1907,1906,928,913,1562,1540,1003,983
