NO,NO KEC,KECAMATAN,TERAKREDITASI (A),TERAKREDITASI (B),TERAKREDITASI (C),SEKOLAH MENENGAH PERTAMA (SMP) NEGERI BELUM TERAKREDITASI,JUMLAH SMP NEGERI,JUMLAH RUANG KELAS SMP NEGERI,JUMLAH LABORATORIUM IPA,JUMLAH LABORATORIUM BAHASA,JUMLAH LABORATORIUM KOMPUTER,Jumlah penduduk usia 12-14
1,32.75.01,Bekasi Timur,6,0,0,1,7,187,8,1,9,13149
2,32.75.02,Bekasi Barat,3,0,0,2,5,93,2,1,2,13213
3,32.75.03,Bekasi Utara,6,0,0,1,7,163,6,3,3,16783
4,32.75.04,Bekasi Selatan,3,0,0,3,6,148,5,3,8,10453
5,32.75.05,Rawalumbu,4,0,0,1,5,119,4,2,8,10790
6,32.75.06,Medansatria,1,2,0,0,3,39,2,1,2,8018
7,32.75.07,Bantargebang,1,0,0,2,3,66,3,2,1,5959
8,32.75.08,Pondokgede,2,1,0,1,4,101,3,2,3,11232
9,32.75.09,Jatiasih,6,1,0,0,7,166,6,1,8,12473
10,32.75.10,Jatisampurna,2,1,0,0,3,63,2,1,2,5826
11,32.75.11,Mustikajaya,5,0,0,0,5,74,3,1,7,12021
12,32.75.12,Pondokmelati,1,0,0,0,1,23,1,0,0,6484
